Product_ID,Product_Name,Product_Category,Product_Cost,Product_Price
1.0,ACTION FIGURE,Toys,nan,$15.99 
2.0,NAN, Toys ,$9.99 ,$12.99 
3.0, Barrel O' Slime ,art & crafts, $1.99  ,$3.99 
4.0, Chutes & Ladders , GAMES @@,$9.99 ,$12.99 
5.0,CLASSIC DOMINOES,Games,$7.99 ,$9.99 
6.0, colorbuds , ELECTRONICS ,$6.99 ,$14.99 
7.0,Dart Gun,Sports & Outdoors,$11.99 , $15.99  
8.0,DECK OF CARDS, games ,$3.99 ,$6.99 
9.0,dino egg,toys, $9.99  ,$10.99 
10.0,dinosaur figures,toys,$10.99 ,$14.99 
11.0,Etch A Sketch,art & crafts,$10.99 ,$20.99 
12.0,Foam Disk Launcher,Sports & Outdoors,$8.99 , $11.99  $$$
13.0,Gamer Headphones,electronics,$14.99 ,$20.99 
-9999.0,Glass Marbles,Games,$5.99 ,$10.99 
,hot wheels 5-pack,Toys,$3.99 ,$5.99 
16.0,Jenga,games, $2.99  ,$9.99 
17.0,kids makeup kit, Art & Crafts ,$13.99 ,$19.99 
18.0,lego bricks$$$,toys, $34.99  ,$39.99 
19.0,MAGIC SAND,Art & Crafts,$13.99 ,$15.99 
20.0,Mini Basketball Hoop,SPORTS & OUTDOORS,$8.99 ,$24.99 
21.0,Mini Ping Pong Set,sports & outdoors,$6.99 ,$9.99 
22.0,MONOPOLY,games,$13.99 ,$19.99 
, mr. potatohead , TOYS ,$4.99 ,nan
24.0,nerf gun,Sports & Outdoors,$14.99 , $19.99  
25.0, PlayDoh Can , ART & CRAFTS ,$1.99 ,$2.99 
26.0,PlayDoh Playset, art & crafts ,$20.99 , $24.99  
27.0,PlayDoh Toolkit,Art & Crafts,nan###, $4.99  
28.0,Playfoam,Art & Crafts,$3.99 , $10.99  
29.0,PLUSH PONY,toys,$8.99 ,$19.99 
30.0,Rubik's Cube,games,$17.99 , $19.99  
31.0,SPLASH BALLS,SPORTS & OUTDOORS,$7.99 ,NAN
32.0, Supersoaker Water Gun ,SPORTS & OUTDOORS,$11.99 ,$14.99 
33.0, TEDDY BEAR ,toys,$10.99 , $12.99  
34.0,Toy Robot,ELECTRONICS,NAN, $25.99  
35.0,Uno Card Game,GAMES,$3.99 ,$7.99 
27.0,PlayDoh Toolkit,Art & Crafts,nan, $4.99  
