Cal_Year,Sale_ID,Date,Cal_Date,Store_ID,Product_ID,Units
2022,65537,3/8/2022,3/8/2022,48,6,1
2022,65538,3/8/2022,3/8/2022,2,6,3
2022,65539,3/8/2022,3/8/2022,5,1,2
2022,65540,3/8/2022,3/8/2022,31,,-9999
2022,65541,3/8/2022,3/8/2022,30,6,
2022,65542,3/8/2022,3/8/2022,33,,1
2022,65543,3/8/2022,3/8/2022,27,1,1
2022,65544,3/8/2022,3/8/2022,34,,1
2022,,3/8/2022,3/8/2022,45,34,1
2022,65546,3/8/2022,3/8/2022,23,6,3
2022,65547,3/8/2022,3/8/2022,15,7,-9999
2022,65548,3/8/2022,3/8/2022,29,,1
2022,65549,3/8/2022,3/8/2022,45,25,1
2022,65550,3/8/2022,3/8/2022,48,34,1
2022,65551,3/8/2022,3/8/2022,29,6,1
2022,65552,3/8/2022,3/8/2022,6,6,1
2022,65553,3/8/2022,3/8/2022,26,8,1
2022,65554,3/8/2022,3/8/2022,23,6,3
2022,65555,3/8/2022,3/8/2022,17,1,1
2022,65556,3/8/2022,3/8/2022,12,,1
2022,65557,3/8/2022,3/8/2022,12,30,-9999
2022,65558,3/8/2022,3/8/2022,41,-9999,1
2022,65559,3/8/2022,3/8/2022,1,8,2
2022,65560,3/8/2022,3/8/2022,12,6,1
2022,65561,3/8/2022,3/8/2022,41,1,-9999
2022,65562,3/8/2022,3/8/2022,13,1,2
2022,,3/8/2022,3/8/2022,31,1,1
2022,-9999,3/8/2022,3/8/2022,17,,1
2022,65565,3/8/2022,3/8/2022,2,7,2
2022,65566,3/8/2022,3/8/2022,31,6,3
2022,65567,3/8/2022,3/8/2022,37,27,1
2022,65568,3/8/2022,3/8/2022,33,8,1
2022,65569,3/8/2022,3/8/2022,46,7,-9999
2022,65570,3/8/2022,3/8/2022,32,6,4
2022,,3/8/2022,3/8/2022,5,18,1
2022,65572,3/8/2022,3/8/2022,24,8,1
2022,65573,3/8/2022,3/8/2022,36,2,1
2022,65575,3/8/2022,3/8/2022,6,25,1
2022,65576,3/8/2022,3/8/2022,,1,1
2022,65577,3/8/2022,3/8/2022,30,6,1
2022,65578,3/8/2022,3/8/2022,45,34,1
2022,65579,3/8/2022,3/8/2022,30,6,1
2022,65580,3/8/2022,3/8/2022,14,14,1
2022,65581,3/8/2022,3/8/2022,17,2,1
2022,65582,3/8/2022,3/8/2022,37,21,1
2022,65583,3/8/2022,3/8/2022,9,1,1
2022,65584,3/8/2022,3/8/2022,37,7,1
2022,65585,3/8/2022,3/8/2022,48,34,1
2022,65586,3/8/2022,3/8/2022,17,2,1
2022,65587,3/8/2022,3/8/2022,2,6,3
2022,65588,3/8/2022,3/8/2022,6,25,1
2022,65589,3/8/2022,3/8/2022,45,-9999,1
2022,65590,3/8/2022,3/8/2022,5,1,3
2022,,3/8/2022,3/8/2022,17,6,3
2022,65592,3/8/2022,3/8/2022,1,8,1
2022,65593,2022-03-08@@,3/8/2022,17,2,1
2022,65594,3/8/2022,3/8/2022,10,17,1
2022,65595,3/8/2022,3/8/2022,9,2,1
2022,65596,3/8/2022,3/8/2022,29,6,-9999
2022,65597,3/8/2022,3/8/2022,6,25,1
2022,65598,3/8/2022,3/8/2022,23,25,1
2022,-9999,3/8/2022,3/8/2022,36,2,1
2022,65600,3/8/2022,3/8/2022,23,25,1
2022,65601,3/8/2022,3/8/2022,1,8,3
2022,65602,3/8/2022,3/8/2022,38,6,3
2022,65603,3/8/2022,3/8/2022,34,-9999,1
2022,65604,3/8/2022,3/8/2022,32,6,3
2022,65605,3/8/2022,3/8/2022,3,27,1
2022,65606,3/8/2022,3/8/2022,37,27,1
2022,65607,3/8/2022,3/8/2022,10,17,-9999
2022,65608,3/8/2022,3/8/2022,29,2,1
2022,65609,3/8/2022,3/8/2022,41,1,1
2022,65610,3/8/2022,3/8/2022,24,8,1
2022,65611,3/8/2022,3/8/2022,32,6,4
2022,65612,3/8/2022,3/8/2022,7,,1
2022,65613,3/8/2022,3/8/2022,21,6,1
2022,65614,3/8/2022,3/8/2022,47,7,2
2022,65615,3/8/2022,3/8/2022,15,7,2
2022,65616,3/8/2022,3/8/2022,32,6,4
2022,65617,3/8/2022,3/8/2022,26,8,1
2022,65619,3/8/2022,3/8/2022,10,17,1
2022,65620,3/8/2022,3/8/2022,-9999,14,1
2022,65621,3/8/2022,3/8/2022,12,15,1
2022,65622,3/8/2022,3/8/2022,13,,1
2022,65623,3/8/2022,3/8/2022,,27,1
2022,65624,3/8/2022,3/8/2022,29,15,1
2022,65625,3/8/2022,3/8/2022,9,27,1
2022,65626,3/8/2022,3/8/2022,19,2,1
2022,65627,3/8/2022,3/8/2022,15,7,3
2022,65628,3/8/2022,3/8/2022,29,6,1
2022,65629,3/8/2022,3/8/2022,5,18,1
2022,65630,3/8/2022,3/8/2022,28,25,1
2022,65631,3/8/2022,3/8/2022,17,2,1
2022,65632,3/8/2022,3/8/2022,8,-9999,1
2022,65633,3/8/2022,3/8/2022,41,8,1
2022,65634,3/8/2022,3/8/2022,14,14,1
2022,65636,3/8/2022,3/8/2022,27,1,
2022,65637,3/8/2022,3/8/2022,26,8,1
2022,65638,3/8/2022,3/8/2022,28,25,1
2022,65639,3/8/2022,3/8/2022,34,6,1
2022,65640,3/8/2022,3/8/2022,30,6,1
2022,65641,3/8/2022,3/8/2022,46,7,1
2022,65642,3/8/2022,3/8/2022,50,6,1
2022,65643,3/8/2022,3/8/2022,27,1,
2022,65644,3/8/2022,3/8/2022,,1,1
2022,65646,2022-03-08$$$,3/8/2022,13,14,1
2022,,3/8/2022,3/8/2022,50,6,1
2022,65648,3/8/2022,3/8/2022,3,1,1
2022,,2022-03-08@@,3/8/2022,13,1,2
2022,65650,3/8/2022,3/8/2022,2,,2
2022,65652,3/8/2022,3/8/2022,10,17,1
2022,65653,3/8/2022,3/8/2022,23,25,1
2022,65654,3/8/2022,3/8/2022,41,8,1
2022,65655,3/8/2022,3/8/2022,34,6,1
2022,65656,3/8/2022,3/8/2022,-9999,8,1
2022,65657,3/8/2022,3/8/2022,21,6,1
2022,65658,2022-03-08@@,3/8/2022,,1,
2022,65659,3/8/2022,3/8/2022,29,2,1
2022,65660,3/8/2022,3/8/2022,7,25,1
2022,65661,3/8/2022,3/8/2022,7,18,1
2022,,3/8/2022,3/8/2022,17,,1
2022,65665,3/8/2022,3/8/2022,5,1,3
2022,65667,3/8/2022,3/8/2022,5,18,1
2022,65668,3/8/2022,3/8/2022,6,27,-9999
2022,65669,3/8/2022,3/8/2022,5,18,1
2022,,3/8/2022,3/8/2022,12,6,1
2022,65671,3/8/2022,3/8/2022,29,2,1
2022,65672,3/8/2022,3/8/2022,1,8,2
2022,65673,3/8/2022,3/8/2022,29,2,1
2022,65674,3/8/2022,3/8/2022,24,-9999,2
2022,65675,3/8/2022,3/8/2022,50,6,1
2022,65676,3/8/2022,3/8/2022,15,7,2
2022,65677,3/8/2022,3/8/2022,41,-9999,1
2022,65678,3/8/2022,3/8/2022,6,25,1
2022,65679,3/8/2022,3/8/2022,,25,1
2022,65680,3/8/2022,3/8/2022,30,6,1
2022,65681,3/8/2022,3/8/2022,1,8,2
2022,65682,3/8/2022,3/8/2022,3,27,1
2022,65683,3/8/2022,3/8/2022,15,7,3
2022,65684,3/8/2022,3/8/2022,30,6,
2022,65685,3/8/2022,3/8/2022,37,27,1
2022,65686,3/8/2022,3/8/2022,1,8,2
2022,65687,3/8/2022,3/8/2022,3,1,1
2022,65688,3/8/2022,3/8/2022,,,1
2022,65689,3/8/2022,3/8/2022,37,34,1
2022,65690,3/8/2022,3/8/2022,38,6,2
2022,65692,3/8/2022,3/8/2022,6,27,1
2022,65693,3/8/2022,3/8/2022,33,8,1
2022,65694,3/8/2022,3/8/2022,28,25,1
2022,65695,3/8/2022,3/8/2022,15,7,3
2022,65696,3/8/2022,3/8/2022,34,6,1
2022,65697,3/8/2022,3/8/2022,8,34,1
2022,65698,3/8/2022,3/8/2022,5,1,2
2022,65699,3/8/2022,3/8/2022,32,6,3
2022,65700,3/8/2022,3/8/2022,-9999,7,1
2022,65701,3/8/2022,3/8/2022,45,34,1
2022,65702,3/8/2022,3/8/2022,45,34,
2022,65703,3/8/2022,3/8/2022,15,7,3
2022,65704,3/8/2022,3/8/2022,50,6,1
2022,65705,3/8/2022,3/8/2022,31,14,1
2022,65706,3/8/2022,3/8/2022,29,2,1
2022,65707,3/8/2022,3/8/2022,,7,1
