Store_Maturity_Performance,BHS_Category,Business_Health_Score,Product_Performance_Type,Table Names,Store_ID-1,Product_ID-1,Product_Name,Store_Name,Sale_ID,Product_Category,Store_City,Date,Store_Location,Store_ID,Store_Open_Date,Product_ID,Units,Quarter_No,Year,Manufacture_Cost,Sales_Price_Clean,Revenue,Profit Margin,Profit Category
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,428664,Sports & Outdoors,Guanajuato,1/6/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,430006,Sports & Outdoors,Guanajuato,1/6/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,433399,Sports & Outdoors,Guanajuato,1/16/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,433399,Sports & Outdoors,Guanajuato,1/16/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,442440,Sports & Outdoors,Guanajuato,1/16/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,442687,Sports & Outdoors,Guanajuato,1/16/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,442841,Sports & Outdoors,Guanajuato,1/16/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,443079,Sports & Outdoors,Guanajuato,1/16/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,443393,Sports & Outdoors,Guanajuato,1/16/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,443408,Sports & Outdoors,Guanajuato,1/16/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,448357,Sports & Outdoors,Guanajuato,1/21/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,448361,Sports & Outdoors,Guanajuato,1/21/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,448688,Sports & Outdoors,Guanajuato,1/21/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,448696,Sports & Outdoors,Guanajuato,1/21/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,448715,Sports & Outdoors,Guanajuato,1/21/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,449136,Sports & Outdoors,Guanajuato,1/21/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,449497,Sports & Outdoors,Guanajuato,1/21/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,449546,Sports & Outdoors,Guanajuato,1/21/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,449866,Sports & Outdoors,Guanajuato,1/21/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,450101,Sports & Outdoors,Guanajuato,1/21/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,481793,Sports & Outdoors,Guanajuato,2/13/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,481914,Sports & Outdoors,Guanajuato,2/13/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,482021,Sports & Outdoors,Guanajuato,2/13/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,482380,Sports & Outdoors,Guanajuato,2/13/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,498359,Sports & Outdoors,Guanajuato,2/25/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,498419,Sports & Outdoors,Guanajuato,2/25/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,498507,Sports & Outdoors,Guanajuato,2/25/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,499086,Sports & Outdoors,Guanajuato,2/25/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,499786,Sports & Outdoors,Guanajuato,2/25/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,500061,Sports & Outdoors,Guanajuato,2/25/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,500093,Sports & Outdoors,Guanajuato,2/25/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,526867,Sports & Outdoors,Guanajuato,3/17/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,527107,Sports & Outdoors,Guanajuato,3/17/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,527254,Sports & Outdoors,Guanajuato,3/17/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
Average Store,Good,16.71,Niche Premium Product,sales_2023.csv,50,24,Nerf Gun,Maven Toys Guanajuato 3,527308,Sports & Outdoors,Guanajuato,3/17/2023,Residential,50,5/18/2016,24,1,1,2023,14.99,19.99,19.99,33.36,Medium
