Revenue,Year,Quarter_No,Product_Category
221078.47,2022,1,Toys
97216.02,2022,2,Art & Crafts
323129.92,2022,4,Games
186435.14,2022,3,Games
162461.62,2022,2,Electronics
328160.24,2023,1,Art & Crafts
301951.29,2022,4,Toys
96642.86,2022,2,Sports & Outdoors
143818.27,2023,3,Sports & Outdoors
155191.05,2023,1,Electronics
137871.44,2022,1,Games
126390.9,2023,3,Electronics
145835.82,2023,1,Sports & Outdoors
338352.12,2023,2,Toys
171517.02,2022,3,Toys
92774.62,2022,3,Art & Crafts
147025.45,2022,2,Games
314194.64,2023,3,Art & Crafts
318924.75,2023,3,Toys
307352.95,2022,2,Toys
228647.56,2023,2,Games
174564.09,2022,3,Electronics
201103.12,2022,4,Art & Crafts
302349.65,2023,1,Games
89670.05,2022,3,Sports & Outdoors
166315.6,2023,2,Sports & Outdoors
96250.63,2022,1,Sports & Outdoors
153815.53,2022,4,Electronics
197193.45,2022,1,Electronics
130883.56,2023,2,Electronics
60283.12,2022,1,Art & Crafts
363719.3,2023,2,Art & Crafts
117641.15,2022,4,Sports & Outdoors
216446.55,2023,3,Games
313731.24,2023,1,Toys
