Store_Revenue_Contribution_Pct,Value-1,Value,Store_Name,Store_ID,Store-wise_Revenue,Overall Revenue
3.1,1,1,Maven Toys Guanajuato 3,50,214851.460000002,6928939.18999698
3.34,1,1,Maven Toys Guanajuato 2,22,231489.670000002,6928939.18999698
2.69,1,1,Maven Toys Ciudad Victoria 1,25,186563.690000002,6928939.18999698
3.42,1,1,Maven Toys Toluca 1,17,236925.31,6928939.18999698
2.47,1,1,Maven Toys Chihuahua 1,23,170957.820000001,6928939.18999698
1.83,1,1,Maven Toys Cuernavaca 1,11,126947.440000002,6928939.18999698
3.65,1,1,Maven Toys Hermosillo 3,42,253071.510000003,6928939.18999698
2.83,1,1,Maven Toys Chihuahua 2,38,196189.2,6928939.18999698
2.26,1,1,Maven Toys Puebla 3,44,156651.570000001,6928939.18999698
2.09,1,1,Maven Toys Chilpancingo 1,35,144623.01,6928939.18999698
2.21,1,1,Maven Toys Guadalajara 2,3,152872.080000002,6928939.18999698
5.51,1,1,Maven Toys Guanajuato 1,14,381703.22,6928939.18999698
2.26,1,1,Maven Toys Morelia 1,36,156522.98,6928939.18999698
3.3,1,1,Maven Toys Hermosillo 2,41,228538.560000004,6928939.18999698
1.96,1,1,Maven Toys Campeche 2,26,135642.32,6928939.18999698
2.51,1,1,Maven Toys Guadalajara 1,1,174161.630000002,6928939.18999698
3.35,1,1,Maven Toys Mexicali 1,6,232129.74,6928939.18999698
1.97,1,1,Maven Toys Hermosillo 1,32,136759.68,6928939.18999698
2.51,1,1,Maven Toys Puebla 1,19,173927.390000003,6928939.18999698
2.8,1,1,Maven Toys Guadalajara 4,46,193874.180000002,6928939.18999698
1.83,1,1,Maven Toys La Paz 1,5,127005.6,6928939.18999698
1.95,1,1,Maven Toys Zacatecas 1,20,135014.660000001,6928939.18999698
2.38,1,1,Maven Toys Pachuca 1,8,165047.5,6928939.18999698
3.87,1,1,Maven Toys Guanajuato 1,30,268460.970000002,6928939.18999698
2.53,1,1,Maven Toys Saltillo 2,48,175047.470000001,6928939.18999698
2.7,1,1,Maven Toys Monterrey 3,33,187281.650000004,6928939.18999698
3.82,1,1,Maven Toys Toluca 2,40,264946.600000003,6928939.18999698
2.54,1,1,Maven Toys Guanajuato 1,2,175951.68,6928939.18999698
2.26,1,1,Maven Toys Puebla 2,28,156735.340000001,6928939.18999698
3.82,1,1,Maven Toys Saltillo 1,4,264739.620000001,6928939.18999698
2.53,1,1,Maven Toys Villahermosa 1,34,174957.670000001,6928939.18999698
2.44,1,1,Maven Toys Guanajuato 1,47,168866.740000002,6928939.18999698
1.92,1,1,Maven Toys Durango 1,43,132865.289999999,6928939.18999698
1.99,1,1,Maven Toys Oaxaca 1,27,138204.570000001,6928939.18999698
2.36,1,1,Maven Toys Santiago 1,21,163406.540000002,6928939.18999698
2.38,1,1,Maven Toys Mexicali 2,13,165184.290000002,6928939.18999698
2.61,1,1,Maven Toys Chetumal 1,12,180820.540000002,6928939.18999698
