transaction_id,transaction_date,customer_id,product,region,payment_method,status,amount,channel
TX00001,2025-01-01,C0018,Laptop,APAC,PayPal,Completed,49.0,Online
TX00002,2025-01-02,C0027,Monitor,APAC,Transfer,Completed,388.0,Store
TX00003,2025-01-03,C0026,Laptop,EU,PayPal,Completed,329.0,Store
TX00004,2025-01-04,,Monitor,APAC,Transfer,Completed,222.0,Online
TX00005,2025-01-05,C0034,Monitor,EU,PayPal,Pending,219.0,Online
TX00006,2025-01-06,C0023,Laptop,US,Card,Completed,430.0,Online
TX00007,2025-01-07,C0004,Headphones,US,PayPal,Completed,47.0,Online
TX00008,2025-01-08,C0030,Keyboard,EU,Cash,Completed,350.0,Online
TX00009,2025-01-09,C0023,Headphones,EU,Transfer,Completed,,Store
TX00010,2025-01-10,C0025,Laptop,APAC,Cash,Completed,51.0,Store
TX00011,2025-01-11,C0023,Mouse,US,Transfer,Completed,265.0,Store
TX00012,2025-01-12,C0022,Keyboard,US,Transfer,Completed,487.0,Store
TX00013,2025-01-13,C0004,Mouse,US,CARD,Completed,369.0,Store
TX00014,2025-01-14,C0022,Mouse,US,Cash,Completed,381.0,Online
TX00015,2025-01-15,C0032,Monitor,APAC,PayPal,Completed,360.0,Online
TX00016,2025-01-16,C0012,Laptop,EU,PayPal,Completed,394.0,Store
TX00017,2025-01-17,C0024,Headphones,APAC,Card,Completed,259.0,Online
TX00018,2025-01-18,C0002,Laptop,APAC,PayPal,Completed,68.0,Online
TX00019,2025-01-19,C0014,Mouse,US,Transfer,Completed,420.0,Store
TX00020,2025-01-20,C0018,Monitor,EU,PayPal,Pending,227.0,Store
TX00021,2025/01/21,C0039,Headphones,EU,Card,Pending,252.0,Store
TX00022,2025-02-30,C0009,Mouse,APAC,Cash,Completed,188.0,Store
TX00023,2025-01-23,C0011,Mouse,APAC,Transfer,Completed,95.0,Online
TX00024,2025-01-24,C0016,Chair,EU,Transfer,Completed,463.0,Store
TX00025,2025-01-25,C0039,Chair,EU,PayPal,Pending,391.0,Store
TX00026,2025-01-26,C0034,Monitor,eu,PayPal,Completed,323.0,Store
TX00027,2025-01-27,C0002,Keyboard,EU,Cash,Pending,204.0,Store
TX00028,2025-01-28,C0010,Keyboard,APAC,Card,Completed,412.0,Store
TX00029,2025-01-29,C0033,Monitor,APAC,PayPal,Completed,274.0,Online
TX00030,2025-01-30,C0003,Monitor,EU,Card,Completed,224.0,Online
TX00031,2025-01-31,C0034,Mouse,APAC,Transfer,Completed,-45.0,Online
TX00032,2025-02-01,C0011,Laptop,EU,Cash,Completed,117.0,Online
TX00033,2025-02-02,C0036,Laptop,US,Transfer,Completed,50.0,Online
TX00034,2025-02-03,C0012,Chair,US,Transfer,Pending,279.0,Online
TX00035,2025-02-04,C0017,Keyboard,APAC,Transfer,Completed,444.0,Store
TX00036,2025-02-05,C0026,Keyboard,APAC,Card,Completed,0.0,Store
TX00037,2025-02-06,C0005,Keyboard,EU,Transfer,Completed,429.0,Store
TX00038,2025-02-07,C0022,Headphones,EU,Card,Completed,414.0,Store
TX00039,2025-02-08,C0020,Laptop,EU,PayPal,Completed,141.0,Store
TX00040,2025-02-09,C0031,Laptop,EU,Cash,Pending,317.0,Store
TX00041,2025-02-10,C0039,Mouse,APAC,PayPal,Completed,999999.0,Online
TX00042,2025-02-11,C0026,Keyboard,APAC,Card,Refunded,380.0,Store
TX00043,2025-02-12,C0016,Headphones,EU,Card,Pending,351.0,Online
TX00044,2025-02-13,C0016,Keyboard,APAC,Transfer,Completed,180.0,Online
TX00045,2025-02-14,C0017,Keyboard,US,PayPal,Completed,38.0,Store
TX00046,2025-02-15,C0032,Chair,US,PayPal,Completed,485.0,Store
TX00047,2025-02-16,C0013,Laptop,US,Transfer,Pending,225.0,Online
TX00048,2025-02-17,C0007,Monitor,EU,Card,Completed,447.0,Online
TX00049,2025-02-18,C0014,Monitor,APAC,Transfer,Completed,340.0,Online
TX00050,2025-02-19,C0001,Keyboard,EU,Transfer,Completed,390.0,Online
TX00050,2025-02-20,C0005,Headphones,EU,Cash,Completed,381.0,Online
TX00052,2025-02-21,C0004,Mouse,EU,Card,Completed,101.0,Store
TX00053,2025-02-22,C0031,Chair,EU,Card,Completed,185.0,Store
TX00054,2025-02-23,C0029,Mouse,EU,PayPal,Completed,236.0,Store
TX00055,2025-02-24,C0028,Monitor,EU,Cash,Completed,251.0,Store
TX00056,2025-02-25,C0019,Monitor,APAC,Card,Completed,26.0,Store
TX00057,2025-02-26,C0028,Chair,APAC,PayPal,Completed,275.0,Store
TX00058,2025-02-27,C0007,Keyboard,EU,Card,Completed,81.0,Online
TX00059,2025-02-28,C0036,Mouse,EU,Cash,Completed,372.0,Online
TX00060,2025-03-01,C0020,Laptop,US,Card,Completed,343.0,Store
TX00061,2025-03-02,C0037,Keyboard,APAC,Cash,completed,461.0,Online
TX00062,2025-03-03,C0006,Headphones,APAC,Card,Completed ,373.0,Online
TX00063,2025-03-04,C0020,Laptop,APAC,Card,Completed,186.0,Online
TX00064,2025-03-05,C0028,Chair,US,Card,Completed,483.0,Store
TX00065,2025-03-06,C0020,Monitor,US,Transfer,Completed,208.0,Online
TX00066,2025-03-07,C0018,Laptop,EU,Card,Completed,166.0,Store
TX00067,2025-03-08,C0007,Mouse,APAC,PayPal,Completed,453.0,Online
TX00068,2025-03-09,C0015,Monitor,APAC,Cash,Completed,188.0,Online
TX00069,2025-03-10,C0010,Mouse,EU,Cash,Completed,42.0,Online
TX00070,2025-03-11,C0012,Laptop,APAC,Cash,Pending,237.0,Online
TX00071,2025-03-12,C0027,Monitor,EU,Transfer,Completed,398.0,
TX00072,2025-03-13,C0025,Headphones,APAC,PayPal,Completed,98.0,Online
TX00073,2025-03-14,C0024,Laptop,APAC,Transfer,Completed,234.0,Online
TX00074,2025-03-15,C0015,Mouse,EU,PayPal,Completed,69.0,Store
TX00075,2025-03-16,C0038,Mouse,US,Transfer,Completed,344.0,Store
TX00076,2025-03-17, ,Monitor,EU,Cash,Completed,240.0,Online
TX00077,2025-03-18,C0014,Headphones,US,Cash,Pending,168.0,Store
TX00078,2025-03-19,C0005,Headphones,APAC,Transfer,Completed,117.0,Store
TX00079,2025-03-20,C0014,Chair,EU,Transfer,Completed,284.0,Online
TX00080,2025-03-21,C0038,Headphones,US,Transfer,Completed,336.0,Store
TX00081,2025-03-22,C0015,Mouse,APAC,cash,Completed,470.0,Store
TX00082,2025-03-23,C0036,Laptop,EU,Card,Pending,221.0,Store
TX00083,2025-03-24,C0020,Monitor,EU,PayPal,Completed,84.0,Online
TX00084,2025-03-25,C0028,Chair,US,Card,Completed,417.0,Online
TX00085,2025-03-26,C0018,Chair,US,Transfer,Completed,316.0,Online
TX00086,2025-03-27,C0011,Mouse,US,Card,Refunded,351.0,Store
TX00087,2025-03-28,C0030,Mouse,EU,Card,Completed,53.0,Store
TX00088,2025-03-29,C0038,Laptop,APAC,Card,Refunded,159.0,Online
TX00089,2025-03-30,C0011,Laptop,US,Cash,Completed,385.0,Online
TX00090,2025-03-31,C0031,Monitor,EU,Cash,Pending,416.0,Store
TX00091,01-04-2025,C0011,Monitor,APAC,Transfer,Completed,220.0,Store
TX00092,2025-04-02,C0028,Keyboard,APAC,PayPal,Completed,403.0,Store
TX00093,2025-04-03,C0031,Mouse,US,PayPal,Completed,421.0,Online
TX00094,2025-04-04,C0018,Headphones,EU,Card,Completed,196.0,Store
TX00095,2025-04-05,C0029,Keyboard,US,Card,Completed,449.0,Online
TX00096,2025-13-01,C0011,Headphones,US,PayPal,Completed,147.0,Store
TX00097,2025-04-07,C0004,Chair,EU,Transfer,Pending,123.0,Online
TX00098,2025-04-08,C0004,Mouse,US,Cash,Completed,342.0,Online
TX00099,2025-04-09,C0018,Mouse,APAC,Transfer,Completed,320.0,Online
TX00100,2025-04-10,C0036,Chair,EU,Card,Completed,74.0,Store
TX00101,2025-04-11,C0005,Monitor,APAC,Card,Completed,abc,Store
TX00102,2025-04-12,C0018,Mouse,EU,Transfer,Pending,103.0,Online
TX00103,2025-04-13,C0028,Monitor,APAC,Card,Completed,403.0,Store
TX00104,2025-04-14,C0008,Monitor,US,Card,Completed,8.0,Online
TX00105,2025-04-15,C0029,Chair,EU,PayPal,Refunded,399.0,Online
TX00106,2025-04-16,C0012,Mouse,APAC,Transfer,Pending,394.0,Online
TX00107,2025-04-17,C0032,Chair,EU,Cash,Completed,391.0,Store
TX00108,2025-04-18,C0023,Chair,US,Card,Pending,334.0,Online
TX00109,2025-04-19,C0022,Mouse,EU,Transfer,Completed,238.0,Store
TX00110,2025-04-20,C0007,Laptop,APAC,Transfer,Refunded,354.0,Online
TX00111,2025-04-21,C0019,Monitor,APAC,Transfer,Completed,142.0,Online
TX00112,2025-04-22,C0034,Laptop,APAC,Transfer,Completed,391.0,Online
TX00113,2025-04-23,C0001,Mouse,US,Card,Completed,280.0,Store
TX00114,2025-04-24,C0030,Keyboard,US,Transfer,Pending,232.0,Online
TX00115,2025-04-25,C0020,Chair,US,PayPal,Completed,255.0,Store
TX00116,2025-04-26,C0029,Chair,APAC,Transfer,Completed,286.0,Store
TX00117,2025-04-27,C0026,Laptop,APAC,Cash,Completed,23.0,Online
TX00118,2025-04-28,C0017,Chair,EU,Transfer,Completed,74.0,Store
TX00119,2025-04-29,C0013,Laptop,US,Cash,Completed,126.0,Store
TX00120,2025-04-30,C0025,Headphones,EU,Cash,Pending,61.0,Online
